index;country;jumlah_tahun;sdg_index_score;no_poverty_score;zero_hunger_score;good_health_and_wellbeing_score;quality_education_score;gender_equality_score;clean_water_and_sanitation_score;affordable_and_clean_energy_score;decent_work_and_economic_growth_score;industry_innovation_and_infrastructure_score;reduces_inequalities_score;sustainable_cities_and_communities_score;responsible_consumption_and_production_score;climate_action_score;life_below_water_score;life_on_land_score;peace_justice_and_strong_institutions_score;partnership_for_the_goals_score;Cluster
43;Denmark;23;83,43478261;99,22173913;73,5173913;92,59130435;98,35652174;85,3826087;91,49565217;80,3;86,90869565;88,20869565;99,23043478;90,6;36,24347826;58,70434783;73,20434783;92,7173913;92,9173913;78,79130435;2
44;Djibouti;23;48,4173913;45,95217391;43,86956522;43,9;10,41304348;21,14782609;55,3;27,00434783;53,63043478;19,77391304;45,7173913;74,63043478;85,42608696;92,14347826;57,5826087;39,46521739;55,12173913;52,03478261;3
45;Dominican Republic;23;67,44782609;88,05652174;71,72608696;63,5826087;79,06521739;65,93043478;66,74347826;67,06521739;75,8173913;31,90869565;27,63913043;80,35652174;82,75217391;92,43913043;80,16521739;71,2173913;52,16086957;50,00434783;1
46;Ecuador;23;66,97826087;84,28695652;56,14347826;74,8173913;90,19565217;69,04347826;71,23478261;69,50869565;71,90434783;33,49130435;19,53913043;72,45652174;85,1;92,68695652;77,89130435;57,88695652;50,87826087;61,54782609;1
47;Egypt;23;66,83043478;86,86521739;67,46086957;64,22608696;59,89565217;43,10869565;64,23478261;68,44347826;60,36956522;42,07391304;85,10434783;63,3826087;91,02608696;95,02173913;50,93478261;69,33913043;62,59130435;62,03478261;2
48;El Salvador;23;64,90434783;84,53043478;54,63043478;75,40434783;81,56086957;59,16521739;70,06086957;69,17826087;68,56521739;24,36521739;37,40434783;78,42608696;85,39565217;95,24347826;38,10869565;62,25652174;56,76521739;62,35217391;1
49;Estonia;23;76,75217391;100;63,70434783;81,85217391;95,62608696;71,66086957;83,13478261;76,63478261;80,63478261;61,40869565;78,73478261;89,77826087;54,55217391;58,84782609;84,5;90,49130435;83,23913043;50,01304348;2
50;Eswatini;23;52,99130435;27,37391304;54,56521739;29,8173913;65,15652174;64,06956522;45,3173913;59,14347826;44,6173913;20,83043478;13,96086957;75,22608696;86;97,37826087;0;50,36956522;54,33043478;59,13043478;0
51;Ethiopia;23;48,83478261;27,21304348;44,5826087;34,3;18,72173913;41,2;37,46086957;25,4173913;65,13478261;21,03478261;80,78695652;48,34347826;98,95652174;98,69130435;0;57,16521739;37,55652174;44,17826087;0
52;Fiji;23;68,73043478;92,04782609;59,16521739;71,17826087;78,9;52,22173913;69,94347826;63,69130435;52,77826087;37,60869565;64,73478261;92,09565217;85,83478261;96,86086957;68,03478261;46,79565217;76,32608696;59,97826087;1
53;Finland;23;84,73043478;99,51304348;64,03043478;93,60869565;98,29565217;87,54347826;94,23043478;88,35217391;86,15217391;89,10869565;98,80869565;90,94347826;57,0173913;62,47826087;86,5;83,83043478;90,67826087;68,94782609;2
54;France;23;78,38695652;99,68695652;72,94782609;91,65217391;97,5173913;77,24782609;88,77391304;76,56086957;83,96086957;81,43043478;86,54347826;89,40869565;58,24347826;70,93478261;55,6826087;60,63913043;75,00434783;66,39565217;2
55;Gabon;23;58,90869565;87,72173913;51,62173913;41,27391304;59,80869565;40,47391304;59,36521739;74,07391304;62,35217391;19,36956522;47,46086957;49,07826087;82,74782609;85,27391304;70,70869565;80,28695652;43,03043478;46,93913043;1
56;Gambia;23;51,94782609;39,63913043;46,97826087;39,9826087;33,65652174;29,26521739;58,80434783;27,39130435;65,5;17,30434783;41,27391304;58,47826087;95,86956522;98,97826087;61,10869565;83,95217391;46,81304348;38,12608696;3
57;Georgia;23;70,99565217;73,20869565;53,96086957;68,0826087;97,53913043;55,40869565;80,10869565;79,9826087;69,67826087;33,03913043;63,66086957;84,37391304;87,79565217;93,33478261;65,9826087;66,37826087;73,03913043;61,40869565;1
58;Germany;23;80,07391304;99,73478261;73,18695652;91,6;96,25652174;77,53043478;86,26086957;73,75652174;85,33043478;84,5173913;90,59130435;90,57826087;52,57826087;59,65652174;62,81304348;76,5173913;85,90869565;74,47826087;2
59;Ghana;23;58,28695652;47,93478261;65,23478261;45,61304348;66,94347826;48,6173913;52,57826087;45,83478261;71,96521739;25,83913043;38,31304348;54,97391304;95,84782609;97,15652174;46,80869565;71,89130435;67,75652174;47,69130435;3
60;Greece;23;74,23043478;98,9;68,94347826;87,47391304;94,52608696;57,47391304;87,66521739;73,43043478;67,9826087;54,94782609;79,12173913;85,17391304;65,81304348;72,94347826;60,61304348;75,81304348;71,92608696;59,05652174;2
61;Guatemala;23;56,85652174;70,14782609;40,96521739;65,67826087;67,65217391;43,28695652;67,30869565;52,71304348;69,1;18,23913043;15,43913043;74,23913043;90,11304348;96,40869565;56,55652174;48,07391304;44,20869565;46,40869565;1
62;Guinea;23;49,64347826;36,47391304;57,14347826;24,45652174;16,02173913;31,32173913;48,41304348;21,46521739;64,6173913;10,02173913;64,02608696;48,85652174;96,86521739;98,77391304;62,73913043;73,04347826;42,7173913;47,06956522;3
63;Guyana;23;65,3;80,14782609;61,43478261;60,13913043;85,74347826;60,75652174;67,33478261;60,55652174;71,55217391;21,76086957;0;80,03043478;86,91304348;85,56521739;39,71304348;73,36086957;56,78695652;54,59130435;1
64;Haiti;23;49,97826087;40,56086957;48,36086957;35,36956522;64,02608696;35,33478261;50,95217391;20,85217391;57,74347826;16,63043478;47,3;44,2173913;94,07391304;99,00869565;62,87826087;48,20869565;41,32608696;42,80434783;3
65;Honduras;23;60,30434783;62,56521739;51,68695652;66,41304348;60,86956522;60,96956522;68,85652174;54,62608696;66,57391304;18,2;14,53913043;75,53913043;89,35652174;96,14347826;61,63913043;73,07391304;45,27391304;58,8826087;1
66;Hungary;23;77,33913043;98,6;70,52173913;79,16086957;94,32173913;61,87826087;86,6;72,53913043;79,86521739;54,83478261;94,56086957;86,36086957;75,53913043;79,42608696;0;83,79130435;68,83913043;51,0826087;4
67;Iceland;23;76,39130435;99,74782609;54,75652174;93,9;96,52173913;87,27391304;59,8;99,30434783;77,95217391;70,71304348;98,07826087;89,93043478;36,4173913;54,73913043;61,88695652;53,40434783;95,12173913;68,93478261;2
68;India;23;56,12608696;59,7826087;50,66086957;52,55217391;74,58695652;34,90869565;50,97391304;52,16521739;68,23913043;30,0826087;39,40434783;47,27826087;95,32173913;95,5173913;55,29130435;46,67826087;51,06956522;49,61304348;1
69;Indonesia;23;63,63043478;67,2173913;62,33478261;58,76521739;87,97826087;58,15217391;63,7826087;51,21304348;70,95217391;25,2173913;65,2173913;65,39130435;89,79130435;93,0826087;60,55217391;47,13478261;63,8173913;51,19565217;1
70;Iran;23;64,8826087;94,55652174;64,45652174;73,7173913;71,81304348;40,4173913;58,79130435;63,23043478;60,80869565;31,36956522;42,84782609;73,26086957;85,62173913;81,19565217;77,02173913;69,02608696;59,08695652;56,06956522;1
71;Iraq;23;59,73913043;0;47,66956522;55,86956522;64,51304348;38,2;58,62173913;60,73043478;60,76521739;20,57826087;92,85652174;54,86956522;85,99130435;84,6826087;65,82173913;40,57391304;60,42173913;62,80434783;3
72;Ireland;23;77,6;99,70869565;68,37826087;91,14347826;99,08695652;70,35217391;84,06521739;70,78695652;84,73913043;79,78695652;85,79130435;87,40869565;50,45217391;54,86956522;67,1826087;84,1826087;87,8173913;53,44782609;2
73;Israel;23;70,98695652;98,06086957;57,96521739;92,79130435;99,45217391;66,51304348;68,25217391;71,38695652;80,9826087;84,9173913;64,22173913;85,4173913;65,02608696;58,14782609;35,80434783;48,4826087;69,65217391;59,75217391;2
